HEADER.PURCHASEORDERID,PURCHASEORDERITEM,PRODUCT.PRODUCTID,NOTEID,CURRENCY,GROSSAMOUNT,NETAMOUNT,TAXAMOUNT,QUANTITY,QUANTITYUNIT,DELIVERYDATE
300000000,10,HT-1000,,EUR,1137.64,956,181.64,1,EA,2015-05-07
300000000,20,HT-1091,,EUR,61.88,52,9.88,2,EA,2015-09-05
300000001,10,HT-1100,,USD,213.96,179.8,34.16,2,EA,2015-05-04
300000001,20,HT-2026,,USD,35.69,29.99,5.7,1,EA,2015-07-15
300000002,10,HT-2000,,EUR,892.46,749.97,142.49,3,EA,2015-03-29
300000002,20,HT-1010,,EUR,2378.81,1999,379.81,1,EA,2015-03-23
300000003,10,HT-1104,,JPY,196.35,165,31.35,3,EA,2015-05-27
300000003,20,HT-1603,,JPY,6069,5100,969,3,EA,2015-12-19
300000004,10,HT-1011,,JPY,5471.62,4598,873.62,2,EA,2015-11-10
300000004,20,HT-1104,,JPY,65.45,55,10.45,1,EA,2015-07-30
300000005,10,HT-1601,,MXN,1071,900,171,1,EA,2015-10-02
300000005,20,HT-1021,,MXN,354.62,298,56.62,2,EA,2015-12-11
300000006,10,HT-1003,,EUR,5890.5,4950,940.5,3,EA,2015-02-08
300000006,20,HT-1101,,EUR,95.08,79.9,15.18,1,EA,2015-12-04
300000007,10,HT-1007,,USD,1187.62,998,189.62,2,EA,2015-06-28
300000007,20,HT-1102,,USD,246.33,207,39.33,3,EA,2015-11-01
300000008,10,HT-1600,,ARS,1428,1200,228,2,EA,2015-11-08
300000008,20,HT-1022,,ARS,487.9,410,77.9,2,EA,2015-07-12
300000009,10,HT-6100,,EUR,1116.22,938,178.22,2,EA,2015-05-03
300000009,20,HT-1000,,EUR,2275.28,1912,363.28,2,EA,2015-11-11
300000010,10,HT-2026,,USD,71.38,59.98,11.4,2,EA,2014-12-21
300000010,20,HT-1002,,USD,3736.6,3140,596.6,2,EA,2015-05-15
300000011,10,HT-1007,,USD,593.81,499,94.81,1,EA,2015-06-04
300000011,20,HT-1102,,USD,246.33,207,39.33,3,EA,2015-11-19
300000012,10,HT-1103,,EUR,183.26,154,29.26,2,EA,2015-06-01
300000012,20,HT-2000,,EUR,594.98,499.98,95,2,EA,2015-10-02
300000013,10,HT-1104,,JPY,65.45,55,10.45,1,EA,2014-12-13
300000013,20,HT-1603,,JPY,6069,5100,969,3,EA,2015-12-03
300000014,10,HT-1603,,JPY,2023,1700,323,1,EA,2015-04-24
300000014,20,HT-1011,,JPY,5471.62,4598,873.62,2,EA,2015-07-15
300000015,10,HT-1601,,MXN,3213,2700,513,3,EA,2015-07-01
300000015,20,HT-1021,,MXN,354.62,298,56.62,2,EA,2015-11-28
300000016,10,HT-2001,,USD,1070.98,899.98,171,2,EA,2015-04-20
300000016,20,HT-1007,,USD,593.81,499,94.81,1,EA,2015-02-05
300000017,10,HT-2000,,EUR,297.49,249.99,47.5,1,EA,2014-12-10
300000017,20,HT-1010,,EUR,4757.62,3998,759.62,2,EA,2015-04-04
300000018,10,HT-1100,,USD,320.94,269.7,51.24,3,EA,2015-08-01
300000018,20,HT-2026,,USD,107.06,89.97,17.09,3,EA,2015-07-21
300000019,10,HT-1600,,ARS,2142,1800,342,3,EA,2015-01-29
300000019,20,HT-1022,,ARS,243.95,205,38.95,1,EA,2015-04-10
300000020,10,HT-6100,,EUR,1116.22,938,178.22,2,EA,2015-09-23
300000020,20,HT-1000,,EUR,2275.28,1912,363.28,2,EA,2015-12-23
300000021,10,HT-2026,,USD,71.38,59.98,11.4,2,EA,2015-08-06
300000021,20,HT-1002,,USD,1868.3,1570,298.3,1,EA,2015-03-16
300000022,10,HT-1603,,JPY,6069,5100,969,3,EA,2015-07-07
300000022,20,HT-1011,,JPY,8207.43,6897,1310.43,3,EA,2015-10-19
300000023,10,HT-1106,,MXN,121.38,102,19.38,3,EA,2015-11-07
300000023,20,HT-1601,,MXN,3213,2700,513,3,EA,2015-02-22
300000024,10,HT-2000,,EUR,892.46,749.97,142.49,3,EA,2015-05-18
300000024,20,HT-1010,,EUR,7136.43,5997,1139.43,3,EA,2015-09-13
300000025,10,HT-1003,,EUR,1963.5,1650,313.5,1,EA,2015-01-18
300000025,20,HT-1101,,EUR,190.16,159.8,30.36,2,EA,2015-03-30
300000026,10,HT-1101,,EUR,190.16,159.8,30.36,2,EA,2015-10-30
300000026,20,HT-2025,,EUR,53.54,44.99,8.55,1,EA,2015-12-29
