TEXTID,LANGUAGE,ISOLANGUAGE,TEXT
1000000001,E,en,Notebook Basic 15
1000000002,E,en,Notebook Basic 15 with 1.7GHz - 15 XGA - 1024MB DDR2 SDRAM - 40GB Hard Disc
1000000003,E,en,Notebook Basic 17
1000000004,E,en,Notebook Basic 17 with 1.7GHz - 17 XGA - 1024MB DDR2 SDRAM - 40GB Hard Disc
1000000005,E,en,Notebook Basic 18
1000000006,E,en,Notebook Basic 18 with 1.7GHz - 18 LCD - 1024MB DDR2 SDRAM - 40GB Hard Disc
1000000007,E,en,Notebook Basic 19
1000000008,E,en,Notebook Basic 19 with 1.7GHz - 19 LCD - 1024MB DDR2 SDRAM - 40GB Hard Disc
1000000009,E,en,1UMTS PDA
1000000010,E,en,Ultra fast 3G UMTS/HSDPA Pocket PC. can be used with any GSM network in the world  - Bluetooth 2.0® wireless connectivity
1000000011,E,en,Notebook Professional 15
1000000012,E,en,Notebook Professional 15 with 2.3GHz - 15 XGA - 2048MB DDR2 SDRAM - 40GB Hard Disc - DVD-Writer (DVD-R/+R/-RW/-RAM)
1000000013,E,en,Notebook Professional 17
1000000014,E,en,Notebook Professional 17 with 2.3GHz - 17 XGA - 2048MB DDR2 SDRAM - 40GB Hard Disc - DVD-Writer (DVD-R/+R/-RW/-RAM)
1000000015,E,en,Easy Hand III
1000000016,E,en,High resolution 320x320 transflective color screen - 16MB of memory - Infrared Port - Speaker - Stylus
1000000017,E,en,Easy Hand V
1000000018,E,en,High resolution 320x320 transflective color screen - 32MB of memory - Infrared Port - Speaker - Stylus
1000000019,E,en,Easy Hand VII
1000000020,E,en,High resolution 320x480 transflective color screen - 16MB of memory - Infrared Port - Speaker - Stylus
1000000021,E,en,Easy Power
1000000022,E,en,High resolution 320x480 transflective color screen - 32MB of memory - Infrared Port - Speaker - Stylus
1000000023,E,en,Ergo Screen
1000000024,E,en,17 Optimum Resolution 1024 x 768 @ 85Hz. Max resolution 1280 x 960 @ 75Hz. Dot Pitch: 0.27mm
1000000025,E,en,Easy Pixel
1000000026,E,en,19 Optimum Resolution 1280 x 960 @ 85Hz. Max resolution 1600 x 1200 @ 75Hz. Dot Pitch: 0.26mm
1000000027,E,en,Beam Screen
1000000028,E,en,21 Optimum Resolution 1600 x 1200 @ 85Hz. Max resolution 1984 x 1488 @ 75Hz. Dot Pitch: 0.25mm
1000000029,E,en,Flat Basic 15
1000000030,E,en,19 Optimum Resolution 1600 x 1200 @ 85Hz. Max resolution 1984 x 1488 @ 75Hz. Dot Pitch: 0.24mm
1000000031,E,en,Flat Future
1000000032,E,en,21 Optimum Resolution 1984 x 1488 @ 85Hz. Max resolution 1720 x 1280 @ 75Hz. Dot Pitch: 0.24mm
1000000033,E,en,Flat X-large
1000000034,E,en,23 Optimum Resolution 2016 x 1512 @ 85Hz. Max resolution 2048 x 1536 @ 75Hz. Dot Pitch: 0.24mm
1000000035,E,en,Laser Professional Eco
